num_keys,bucket_size,leaf_size,bits_per_key,build_time,hashing_time,bijection_time,splitting_time,bucket_time,splitting_tree,unary,fixed,bucket_prefixes
1e+06,100,2,5.25701,1135764471,1423282659,47101406,484438814,69972098,5184471,4811672,372799,72538
1e+06,100,2,5.13973,1118003820,1423898397,46165340,476257927,69260356,5067501,4694682,372819,72225
1e+06,100,2,5.01498,1133551270,1424513066,45128747,475054437,84157537,4944316,4571576,372740,70663
1e+06,100,2,4.90065,1121430282,1423588410,44513189,470067949,84180866,4827801,4455097,372704,72850
1e+06,100,2,4.78641,1124090469,1422709933,43581636,468169839,84020668,4715430,4342677,372753,70975
1e+06,250,2,5.59304,1491051273,1652475723,49740409,759542605,79427917,5561505,5163535,397970,31539
1e+06,250,2,5.51156,1481611791,1653526923,49166133,746467453,78983588,5480391,5082371,398020,31164
1e+06,250,2,5.38922,1475323766,1652152412,48150541,742559131,78751943,5357304,4959295,398009,31914
1e+06,250,2,5.28904,1476860866,1649676441,47492067,744306670,78584788,5257564,4859552,398012,31476
1e+06,250,2,5.1766,1466347516,1645993321,46693158,736067904,79713341,5145564,4747560,398004,31039
1e+06,500,2,5.75075,1832915420,1810199635,51024261,1051722598,75430166,5734715,5328200,406515,16039
1e+06,500,2,5.66672,1805628076,1839552433,50364107,1033686752,67592142,5649419,5242935,406484,17305
1e+06,500,2,5.56805,1810607311,1821060350,49565612,1031316212,74374331,5550745,5144257,406488,17305
1e+06,500,2,5.44286,1830657127,1815008471,48720267,1049992497,74388171,5425620,5019131,406489,17243
1e+06,500,2,5.35235,1813078786,1817832375,48118319,1033247458,74069435,5335135,4928586,406549,17211
1e+06,750,2,5.65832,2123095445,1920517175,50137041,1295529599,70259803,5646989,5246300,400689,11328
1e+06,750,2,5.55521,2122077731,1926104804,49499051,1295245978,70420443,5543903,5143207,400696,11307
1e+06,750,2,5.45099,2090470502,1935966363,48574829,1264991217,70669003,5439222,5038554,400668,11771
1e+06,750,2,5.34577,2094680801,1921254730,47816082,1271931671,70261851,5334424,4933680,400744,11349
1e+06,750,2,5.25932,2063136483,1925418798,47193126,1237254631,69844044,5247990,4847278,400712,11328
1e+06,1000,2,5.87097,2298661664,2019001155,52216183,1471093581,70673347,5862112,5450357,411755,8860
1e+06,1000,2,5.78352,2320428131,2014339623,51316553,1493240222,69547584,5774745,5363007,411738,8774
1e+06,1000,2,5.67741,2278749489,2004475859,50497458,1445421828,70541398,5668541,5256807,411734,8868
1e+06,1000,2,5.60064,2260578700,2012960449,49987060,1444995888,56333800,5591721,5179994,411727,8915
1e+06,1000,2,5.49925,2293010884,2006620574,49178436,1469481119,70214380,5490398,5078665,411733,8852
1e+06,1250,2,5.71299,2523778954,2059829229,50581161,1634892419,71066274,5705835,5301378,404457,7152
1e+06,1250,2,5.62899,2550005329,2061687006,49837429,1661027541,70659067,5621773,5217317,404456,7215
1e+06,1250,2,5.52889,2516890117,2045765276,49071848,1634565896,70336391,5521795,5117347,404448,7096
1e+06,1250,2,5.41356,2506694611,2047025410,48126045,1626698444,71276561,5406488,5002053,404435,7071
1e+06,1250,2,5.30212,2514506275,2042747575,47470229,1633245355,70939317,5295069,4890612,404457,7052
1e+06,1500,2,5.722,2682550945,2108799058,50648395,1794678762,68112215,5715948,5312293,403655,6054
1e+06,1500,2,5.63869,2706669131,2113346110,50008149,1826499357,68392299,5632710,5229058,403652,5981
1e+06,1500,2,5.5391,2659470961,2107068522,49223676,1780562203,68033000,5533054,5129425,403629,6044
1e+06,1500,2,5.487,2631463532,2106419211,48827851,1751547218,68657655,5480991,5077348,403643,6007
1e+06,1500,2,5.34273,2638996449,2104935242,47867167,1777222808,50639100,5336658,4932994,403664,6075
1e+06,1750,2,5.80327,2802434378,2146115558,51447716,1911952157,68095607,5798035,5381031,417004,5238
1e+06,1750,2,5.7057,2796899492,2149746492,50539222,1918118375,68198586,5700538,5283591,416947,5157
1e+06,1750,2,5.58483,2772861490,2140632493,49536000,1894303302,67663968,5579692,5162690,417002,5135
1e+06,1750,2,5.49852,2741638805,2139531210,48881174,1864306423,67897153,5493213,5076254,416959,5309
1e+06,1750,2,5.37262,2818365194,2141525997,48006441,1936066987,67548717,5367329,4950347,416982,5287
1e+06,2000,2,5.94368,2992675077,2187357210,52582745,2112725244,68481922,5938857,5524517,414340,4820
1e+06,2000,2,5.88656,2938791431,2198623427,52090979,2062906365,66679816,5881751,5467412,414339,4804
1e+06,2000,2,5.75604,2912654824,2189862759,51032757,2036209564,69035909,5751233,5336888,414345,4808
1e+06,2000,2,5.67698,2917827782,2190738227,50478593,2042207855,68991523,5672087,5257756,414331,4896
1e+06,2000,2,5.56111,2901734369,2184644376,49820394,2021954784,72552218,5556308,5141943,414365,4798
1e+06,100,3,3.34829,1058079595,1348007184,71038855,449812638,80738021,3275748,2531374,744374,72538
1e+06,100,3,3.34436,1035055899,1353501659,71173412,439972960,67723255,3272135,2527620,744515,72225
1e+06,100,3,3.27873,1055376774,1350300533,71402259,442510363,84182199,3208069,2463586,744483,70663
1e+06,100,3,3.27903,1044642494,1349597071,70930844,434416615,84263656,3206182,2461637,744545,72850
1e+06,100,3,3.21873,1046797419,1364399353,70660489,435613050,85074764,3147756,2403324,744432,70975
1e+06,250,3,3.44816,1465987472,1607258255,77536959,746249930,65220361,3416622,2645456,771166,31539
1e+06,250,3,3.45348,1410160387,1575373443,75295566,708546886,68468851,3422318,2651104,771214,31164
1e+06,250,3,3.39286,1389567481,1564235598,75122215,702730475,64264623,3360946,2589694,771252,31914
1e+06,250,3,3.38822,1406400144,1573972562,74526106,709734800,73234005,3356746,2585523,771223,31476
1e+06,250,3,3.32832,1401534274,1571765097,74243826,700650709,78561304,3297278,2525992,771286,31039
1e+06,500,3,3.50826,1775540532,1740971601,76078266,1019326278,74302046,3492221,2711651,780570,16039
1e+06,500,3,3.50885,1738256692,1768889964,76540983,995932417,59142626,3491543,2710978,780565,17305
1e+06,500,3,3.45902,1761111025,1759212492,77084310,1003981810,71874539,3441717,2661140,780577,17305
1e+06,500,3,3.44478,1770755234,1748971119,76067350,1015076129,74158290,3427542,2647020,780522,17243
1e+06,500,3,3.39431,1757213534,1751692939,76108850,995884152,73981949,3377094,2596530,780564,17211
1e+06,750,3,3.54171,2016246216,1837445436,76476619,1244814304,69296136,3530386,2754547,775839,11328
1e+06,750,3,3.54417,2016642830,1838251391,76947248,1246577678,70100623,3532858,2756991,775867,11307
1e+06,750,3,3.49763,1996701629,1860525343,77374015,1225764214,70290218,3485859,2709996,775863,11771
1e+06,750,3,3.49342,1977179819,1835195200,76932691,1215553986,63192653,3482070,2706199,775871,11349
1e+06,750,3,3.43022,2010849131,1819761249,76590331,1237216497,70178930,3418888,2643042,775846,11328
1e+06,1000,3,3.55281,2233387644,1937967157,77615327,1427733562,71277829,3543945,2757656,786289,8860
1e+06,1000,3,3.55187,2259847250,1938778385,77849988,1449496039,69015556,3543094,2756832,786262,8774
1e+06,1000,3,3.50639,2210949423,1933839257,78553715,1404857286,70600864,3497523,2711238,786285,8868
1e+06,1000,3,3.49543,2211442107,1932890099,77632041,1415378682,62354064,3486511,2700168,786343,8915
1e+06,1000,3,3.45695,2277751785,1929847280,77820184,1467955697,70601349,3448102,2661817,786285,8852
1e+06,1250,3,3.57375,2491087966,1983823059,77984221,1653005333,71178171,3566593,2787139,779454,7152
