num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,bucket_time,splitting_tree,unary,fixed,bucket_prefixes
1e+06,5,5,2364408,543440240,682583683,217054168,66934841,151756212,1514373,820058,694315,850035
1e+06,5,5,2337372,532642239,681480258,219295247,63447305,141952033,1487337,792075,695262,850035
1e+06,9,5,2238278,705972211,757400349,231862653,200656422,123140255,1668794,798673,870121,569484
1e+06,9,5,2225797,695891616,760569765,230445082,193309099,123119177,1656313,785939,870374,569484
1e+06,100,5,2029212,1707966978,1213482123,277284765,908930842,82600542,1957924,766303,1191621,71288
1e+06,100,5,2030641,1700975961,1224100237,277973779,900581496,82092605,1957478,765905,1191573,73163
1e+06,5,8,2152212,1173622915,609155802,958076988,13042305,146885757,1302177,510799,791378,850035
1e+06,5,8,2141459,1174213760,610215983,958263174,12746543,147824805,1291424,499699,791725,850035
1e+06,9,8,2059152,2206111426,725266192,1895660813,82700338,123036805,1489668,544539,945129,569484
1e+06,9,8,2048853,2185963528,724033103,1881067267,78965355,121407267,1479369,534059,945310,569484
1e+06,100,8,1735555,8112135063,1135814543,2656372253,5094086464,82774854,1664267,390285,1273982,71288
1e+06,100,8,1737538,8133084632,1134484185,2670298624,5104974519,79823232,1664375,390251,1274124,73163
1e+06,5,12,2114379,3640437780,587728922,3450763367,477783,147492323,1264344,446764,817580,850035
1e+06,5,12,2106499,3769126471,590173213,3579718658,442445,147340394,1256464,437976,818488,850035
1e+06,9,12,1903506,32102901945,670417726,31901524060,20967874,123910215,1334022,286699,1047323,569484
1e+06,9,12,1901236,32360915566,669467095,32162927509,19933805,121758936,1331752,284234,1047518,569484
1e+06,100,12,1646086,121654374691,1048773536,87571638726,33760045843,81723115,1574798,213903,1360895,71288
1e+06,100,12,1647724,122343762707,1065132137,87133172212,34888328330,81464268,1574561,213691,1360870,73163
