num_keys,bucket_size,leaf_size,bits_per_key,build_time,hashing_time,bijection_time,splitting_time,bucket_time,splitting_tree,unary,fixed,bucket_prefixes
1e+06,10,2,4.3431,802136508,1002918757,71521211,251018555,133326849,3818063,3647034,171029,525036
1e+06,10,2,4.17703,782404464,994091113,68196856,245451485,127484985,3651991,3480801,171190,525036
1e+06,10,2,3.99504,764051072,988789050,64922323,239313792,119554756,3470000,3298951,171049,525036
1e+06,10,2,3.858,746113111,986761694,62526368,231512171,113880921,3332968,3161800,171168,525036
1e+06,10,2,3.73469,733095400,980954368,60519209,226631278,110122100,3209653,3038831,170822,525036
1e+06,50,2,5.03594,1263561886,1321262292,87056977,574147551,82644818,4904654,4562527,342127,131287
1e+06,50,2,4.92013,1256230363,1323457410,83735458,564383868,86117481,4790094,4447861,342233,130037
1e+06,50,2,4.78333,1242446839,1321720939,81607248,558552012,82106359,4652042,4309805,342237,131287
1e+06,50,2,4.66329,1237676478,1328247744,79420745,552064755,86260240,4532008,4189782,342226,131287
1e+06,50,2,4.54041,1226468476,1316275143,78058238,547339913,82213384,4409125,4067005,342120,131287
1e+06,100,2,5.25416,1671397393,1469868677,91355819,811834636,76528633,5183183,4810522,372661,70975
1e+06,100,2,5.14104,1656480083,1473103383,88310792,799071858,75422207,5070064,4697309,372755,70975
