num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,bucket_time,splitting_tree,unary,fixed,bucket_prefixes
1e+06,5,5,2364408,553726157,695424137,219716796,67012218,159642078,1514373,820058,694315,850035
1e+06,5,5,2337372,543964232,683478301,220550431,65488769,150006312,1487337,792075,695262,850035
1e+06,5,5,2303879,540975452,684056973,220193602,64163009,148955866,1453844,758951,694893,850035
1e+06,5,5,2293140,538485565,680357567,218919927,63208835,149424100,1443105,748034,695071,850035
1e+06,5,5,2276125,538201301,686397433,218544015,61714445,151144002,1426090,731190,694900,850035
1e+06,5,5,2275443,535603259,681174301,218448860,61240286,149043683,1425408,730250,695158,850035
1e+06,5,5,2269477,537792804,684899909,220265509,61936166,148298233,1419442,724442,695000,850035
1e+06,5,5,2266722,535996920,685054358,218418543,61348959,149098050,1416687,721812,694875,850035
1e+06,5,5,2263403,534922097,683280225,217659377,60219627,150418229,1413368,718415,694953,850035
1e+06,5,5,2262552,518393037,683854660,216861345,58829790,137312283,1412517,717504,695013,850035
100000,5,5,236371,46414353,59303327,20117063,4646686,10904950,151336,81917,69419,85035
100000,5,5,233769,43636176,59756398,19758873,4254121,9003632,148734,79258,69476,85035
100000,5,5,230164,43641370,59203250,19786753,4088502,9327849,145129,75549,69580,85035
100000,5,5,229178,43418341,58962875,19707399,4049992,9160912,144143,74686,69457,85035
100000,5,5,228196,43393717,59763639,19692142,4016118,9144057,143161,73656,69505,85035
100000,5,5,227867,43124272,59520565,19603281,3926039,9191206,142832,73259,69573,85035
100000,5,5,226825,43232415,59561005,19563340,4007945,9135196,141790,72304,69486,85035
100000,5,5,226362,46516680,59051453,21695172,4189916,9650318,141327,71748,69579,85035
100000,5,5,226527,43063181,59715350,19448514,3875661,9181854,141492,72151,69341,85035
100000,5,5,226123,43326627,59736091,19664224,3818794,9351471,141088,71589,69499,85035
1e+07,5,5,24382068,6292473186,8304664489,2320377747,756635559,2160969511,15132032,8180712,6951320,9250036
1e+07,5,5,24114804,6176305665,8365722681,2311710886,725333036,2076948357,14864768,7914261,6950507,9250036
1e+07,5,5,23785888,6172653100,8323823183,2313796057,712958898,2081213078,14535852,7585443,6950409,9250036
1e+07,5,5,23678670,6129743757,8336172446,2307196424,702978614,2049803719,14428634,7477570,6951064,9250036
1e+07,5,5,23539389,6112220998,8380814737,2299161966,694450249,2062734244,14289353,7338935,6950418,9250036
1e+07,5,5,23502903,6138848828,8217912227,2291781611,688207106,2087313594,14252867,7302384,6950483,9250036
1e+07,5,5,23433171,6101231798,8289423632,2286373420,681005267,2075792084,14183135,7231783,6951352,9250036
1e+07,5,5,23422493,6100796563,8315658947,2287923416,682350539,2053462203,14172457,7222046,6950411,9250036
1e+07,5,5,23368988,6112007774,8302725608,2280230080,679155911,2083647048,14118952,7168945,6950007,9250036
1e+07,5,5,23366212,6071851229,8598586495,2280589696,680855411,2043730949,14116176,7166663,6949513,9250036
