num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,splitting_tree,unary,fixed,bucket_prefixes,burr
1e+06,100,2,4079551,2215721950,1623978949,135521027,833871674,2978792,2605961,372831,71288,1029471
1e+06,100,2,4044578,2187835983,1621239756,135060886,824388347,2941044,2568383,372661,73163,1030371
1e+06,100,2,3990546,2159929408,1611595412,134111109,812559002,2888408,2515744,372664,72225,1029913
1e+06,100,2,3955397,2157245589,1622879427,134349254,804528527,2853808,2481025,372783,71288,1030301
1e+06,100,2,3899916,2158459104,1617482506,134225961,799735021,2798044,2425295,372749,71913,1029959
1e+06,100,2,3871848,2171095688,1643788360,135261471,809806964,2771230,2398482,372748,71288,1029330
1e+06,100,2,3840195,2173974208,1635964439,135853954,804811826,2739975,2367240,372735,70663,1029557
1e+06,100,2,3826493,2157522695,1644095607,135534349,803807430,2723942,2351212,372730,71288,1031263
1e+06,100,2,3801045,2166362137,1625833703,135711992,801617837,2700062,2327366,372696,71913,1029070
1e+06,100,2,3788847,2131691441,1610762857,133767583,775073131,2687566,2314739,372827,70975,1030306
1e+06,250,2,4211840,2754644444,1854791484,135836099,1303230996,3146846,2748846,398000,31164,1033830
1e+06,250,2,4177198,2743386789,1855876161,136050396,1294239644,3111876,2713843,398033,31351,1033971
1e+06,250,2,4132700,2717953715,1854521688,135556523,1271212662,3066337,2668326,398011,31851,1034512
1e+06,250,2,4094763,2728326379,1830547787,135993037,1278365392,3029524,2631522,398002,31539,1033700
1e+06,250,2,4042251,2727211069,1828772178,135593798,1276344604,2977713,2579660,398053,31539,1032999
1e+06,250,2,4019843,2704725665,1835438770,135567653,1259516292,2952338,2554368,397970,34227,1033278
1e+06,250,2,3984503,2699516670,1821356452,135540973,1258769675,2919523,2521451,398072,31039,1033941
1e+06,250,2,3969225,2708374615,1830516837,135583554,1263103992,2902121,2504074,398047,34258,1032846
1e+06,250,2,3934141,2713974159,1836527081,135727256,1265154066,2868770,2470731,398039,31914,1033457
1e+06,250,2,3925936,2691572184,1830731753,135603113,1244418918,2860261,2462250,398011,31976,1033699
1e+06,500,2,4272227,3413578421,2012865740,136275400,1861897133,3220325,2813826,406499,16070,1035832
1e+06,500,2,4232558,3367025900,2021756430,136578855,1842378869,3181376,2774884,406492,17243,1033939
1e+06,500,2,4195563,3357794127,2019236961,136168906,1826973183,3143194,2736737,406457,17258,1035111
1e+06,500,2,4164854,3329977976,2016362683,136399115,1801613859,3113223,2706705,406518,17133,1034498
1e+06,500,2,4108347,3363767131,1991831492,135986209,1821546775,3056371,2649844,406527,17243,1034733
1e+06,500,2,4086541,3324539444,1984736060,136057950,1797347650,3034546,2628014,406532,17133,1034862
1e+06,500,2,4053717,3337697154,1991613090,136225029,1808111635,3002238,2595746,406492,17258,1034221
1e+06,500,2,4035248,3321048937,1983438737,136158750,1778039576,2983941,2577457,406484,17211,1034096
1e+06,500,2,4004315,3329775724,1992791668,136463809,1794846476,2951597,2545099,406498,17149,1035569
