SicHash varying bucket sizes and probabilities. BuRR: e=0, l=4, b=128
num_keys,p1,p2,alpha,total_bits,build_time,query_time
1000000,0,1,0.976,2268983,1337258756,386303949
1000000,0,1,0.976,2256224,1440547951,393618271
1000000,0,1,0.976,2255176,1344229285,393585214
1000000,0,1,0.976,2254317,1503885255,394410184
1000000,0.1,0.8,0.981,2233570,1502685306,389287567
1000000,0.1,0.8,0.981,2220604,1845514988,388493797
1000000,0.1,0.8,0.981,2218929,1955431321,390347408
1000000,0.1,0.8,0.981,2219120,2734854514,388619302
1000000,0.33,0.34,0.988,2180863,1565396677,379954063
1000000,0.33,0.34,0.988,2167833,1694002115,377687303
1000000,0.33,0.34,0.988,2166686,1593428174,382260333
1000000,0.33,0.34,0.988,2166418,1828636372,377664581
1000000,0.5,0,0.991,2159969,1607727541,372687764
1000000,0.5,0,0.991,2147509,1544207594,372456941
1000000,0.5,0,0.991,2146721,1543378242,377812475
1000000,0.5,0,0.991,2146319,1692388107,375971852
